name,position,l_position_tip,l_position_base,l_width,t_font,t_size,t_anchor,t_position_x,t_position_y,t_angle
9.5,9.5,-1.3,0,0.15,,,,,,
10,10,-3,0,0.15,Lato,3,start,0.15,-0.8,0
14,14,-2,0,0.15,,,,,,
16,16,-2,0,0.15,Lato,2,middle,0,-1.7,0
17,17,-2,0,0.15,Lato,2,middle,0,-1.7,0
18,18,-2,0,0.15,Lato,2,middle,0,-1.7,0
19,19,-1.3,0,0.15,,,,,,
22,22,-2,0,0.15,Lato,2,middle,0,-1.7,0
24,24,-1.3,0,0.15,,,,,,
27,27,-2,0,0.15,Lato,2,middle,0,-1.7,0
32,32,-2,0,0.15,Lato,2,middle,0,-1.7,0
38,38,-1.3,0,0.15,,,,,,
39,39,-1.4,0,0.15,,,,,,
43,43,-1.1,0,0.15,,,,,,
44,44,-1.4,0,0.15,,,,,,
